week_ending,monitor_n,monitor_min,monitor_max,monitor_mean,model,modeled_min,modeled_max,modeled_mean,mean_error,me_mean,msne,rmse,cor_obs_pred,cor_pred_res
2014-01-12,33,21.375,48.175,37.95811688311689,Lin,22.023856297612568,36.27787079717378,31.201179464575127,0.03041,8.011e-4,0.7089,6.098,-0.2915,-0.4138
2014-01-26,33,31.142857142857146,50.35714285714286,40.73268398268399,Cir,31.759476003925677,41.01372045336102,38.5819138580569,-0.008297,-2.037e-4,0.848,5.543,-0.3079,-0.4081
2014-02-09,33,25,49.016666666666666,39.362337662337666,Gau,25.077912816222373,35.70724460304302,31.85326635779121,0.06093,0.001548,0.8462,5.372,-0.1759,-0.321
2014-02-23,32,33.85714285714286,49.5,41.438504464285714,Ste,38.370331502292125,40.86952394258748,39.4175044919997,0.1731,0.004176,0.6352,3.676,0.505,-0.2014
2014-03-09,32,28.071428571428573,52.142857142857146,40.80654761904762,Ste,35.04181798672378,38.744664232327224,37.65022050208018,0.3395,0.008319,1.091,5.659,0.1484,-0.4147
2014-03-23,32,41.57142857142857,54.714285714285715,47.22321428571429,Ste,43.79304116933262,47.33928570175004,47.15094355574896,2.853e-9,6.042e-11,0.7905,2.922,-1,-1
2014-04-06,33,45.92857142857143,59.07142857142857,50.673881673881674,Mat,48.485103506746285,50.42856035114999,50.28737031380878,9.532e-7,1.881e-8,1.023,3.093,-1,-1
2014-04-20,34,47.28571428571429,59.07142857142857,51.78991596638656,Mat,49.51044144107759,51.7346938778663,51.5667471978113,5.729e-7,1.106e-8,0.6703,2.774,-1,-1
2014-05-04,35,50.07142857142857,62.50000000000001,54.5034693877551,Ste,52.42535429472651,54.367426948325225,54.035055834157454,3.723e-4,6.83e-6,1.082,3.004,-0.8918,-0.8991
2014-05-18,35,42.28571428571429,59.21428571428572,51.04149659863946,Cir,46.64940218869887,49.60601944046964,48.92938535042747,0.01538,3.013e-4,0.6668,3.421,-0.2419,-0.3417
2014-06-01,35,48.07142857142858,65.57142857142858,53.76204081632653,Ste,49.84071818655174,53.79079001178612,52.57516029549678,-0.03036,-5.647e-4,0.9297,3.692,-0.3074,-0.4105
2014-06-15,38,48.828571428571436,69.35714285714286,56.13543233082707,Ste,53.308392688979055,54.53652708746667,54.274204311850156,0.04112,7.325e-4,0.7863,3.648,0.2488,-0.2181
2014-06-29,38,45.85714285714286,61,53.14360902255639,Ste,52.96428571428572,55.69387755102041,55.39806724773243,-1.758e-14,-3.307e-16,1.108,3.878,-1,-1
2014-07-13,37,44.14285714285715,65.71428571428572,53.812355212355214,Ste,56.8214285703614,60.70250128833585,59.49344654531181,-0.01339,-2.488e-4,1.318,4.797,-0.05085,-0.1052
2014-07-27,37,42,63.07142857142857,52.73037323037323,Mat,56.10714285714286,58.75000000005952,58.040352161122556,-9.478e-7,-1.797e-8,1.588,4.311,-1,-1
2014-08-10,37,40.28571428571429,61,51.70434362934363,Mat,54.69207412556257,56.40657919681463,55.78195793769948,-0.04568,-8.834e-4,0.7351,3.696,0.6072,-0.2255
2014-08-24,39,38.14285714285714,57.21428571428572,48.90811965811966,Ste,51.97114230922795,53.9047619048597,52.8697850462612,-3.214e-6,-6.572e-8,1.401,4.517,-1,-1
2014-09-07,39,37.57142857142857,51.92857142857143,46.41666666666667,Mat,46.58697226163519,48.337526085518284,47.61703781536749,0.004405,9.49e-5,0.3187,2.903,0.2746,-0.1659
2014-09-21,38,37.714285714285715,50.92857142857143,44.64160401002506,Mat,42.99356925149134,44.86312003316855,44.25593536745751,0.0617,0.001382,0.4203,3.369,-0.1569,-0.4842
2014-10-05,38,32.78571428571429,51.35714285714286,43.44802631578948,Mat,43.42968222620512,45.85751730456182,45.48721381602408,-0.01185,-2.728e-4,0.471,3.763,0.4925,-0.1904
2014-10-19,34,33.214285714285715,55.5,42.47478991596639,Mat,38.97819010383722,41.68327113158565,41.26488935818125,0.2065,0.004861,0.4839,4.729,0.326,-0.2426
2014-11-02,33,31.642857142857146,47.07142857142858,40.00288600288601,Mat,37.527810555348395,39.45774399196612,38.866249291257745,0.1936,0.004839,0.5639,4.123,-0.08612,-0.5012
2014-11-16,32,24.42857142857143,48.57142857142857,36.19002976190476,Cir,25.878648419898795,32.73279123009152,31.558059177469868,0.01266,3.497e-4,1.348,5.926,-0.4415,-0.4889
2014-11-30,32,27.42857142857143,47.5,38.421875,Mat,34.52298151308539,38.14645547361802,37.301582395515375,0.1111,0.002892,0.9421,5.62,0.006579,-0.4232
2014-12-14,31,10.214285714285715,47.28571428571429,32.44592933947773,Ste,17.40496218480679,27.139145069797177,22.90005973290387,0.6651,0.0205,0.6188,8.845,0.2096,-0.3237
2014-12-28,31,18,46.17857142857143,33.89151305683564,Gau,18.082629196902168,30.100415893905122,25.526000373343816,0.07955,0.002347,0.9637,6.576,-0.2199,-0.3579
